title,link,date_raw,image,category
"Дефицит молока надеются снизить с помощью ""суперкоров"" в Китае",https://tengrinews.kz/science/defitsit-moloka-nadeyutsya-snizit-pomoschyu-superkorov-kitae-524920/,01 февраля 2024,https://static.tengrinews.kz/userdata/news/2024/news_524920/thumb_xts/photo_460634.jpeg.webp,science
"""Старые курильщики"": астрономы обнаружили ранее неизвестный тип звезд",https://tengrinews.kz/science/staryie-kurilschiki-astronomyi-obnarujili-ranee-neizvestnyiy-524788/,31 января 2024,https://static.tengrinews.kz/userdata/news/2024/news_524788/thumb_xts/photo_460481.jpeg.webp,science
Курильщик со вздернутым носом: о шести чертах человека с ДНК неандертальца рассказали исследователи,https://tengrinews.kz/science/kurilschik-vzdernutyim-nosom-shesti-chertah-cheloveka-dnk-522443/,08 января 2024,https://static.tengrinews.kz/userdata/news/2024/news_522443/thumb_xts/photo_457817.jpeg.webp,science
В Google совершили прорыв в управлении ИИ и роботами,https://tengrinews.kz/science/v-google-sovershili-proryiv-v-upravlenii-ii-i-robotami-522370/,06 января 2024,https://tengrinews.kz/userdata/news/2024/news_522370/thumb_xts/photo_457732.jpg.webp,science
Астероиды размером со стадион и самолет приближаются к Земле,https://tengrinews.kz/science/asteroidyi-razmerom-stadion-samolet-priblijayutsya-zemle-522278/,05 января 2024,https://static.tengrinews.kz/userdata/news/2024/news_522278/thumb_xts/photo_457590.jpeg.webp,science
"Панды обожают ""социальные сети"" - выяснили ученые",https://tengrinews.kz/science/pandyi-obojayut-sotsialnyie-seti-vyiyasnili-uchenyie-521137/,24 декабря 2023,https://static.tengrinews.kz/userdata/news/2023/news_521137/thumb_xts/photo_456229.jpeg.webp,science
Матча шайы шынымен де арықтауға көмектесе ме? Қазақстандық дәрігер түсіндірді,https://tengrinews.kz/science/matcha-shayyi-shyinyimen-de-aryiktauga-komektese-me-515906/,06 ноября 2023,https://static.tengrinews.kz/userdata/news/2023/news_515906/thumb_xts/photo_450057.jpeg.webp,science
5G на службе телемедицины,https://tengrinews.kz/science/5g-na-slujbe-telemeditsinyi-514865/,27 октября 2023,https://static.tengrinews.kz/userdata/news/2023/news_514865/thumb_xts/photo_448804.jpeg.webp,science
Появились фото космического корабля NASA для отправки астронавтов на Луну,https://tengrinews.kz/science/poyavilis-foto-kosmicheskogo-korablya-nasa-otpravki-514835/,26 октября 2023,https://static.tengrinews.kz/userdata/news/2023/news_514835/thumb_xts/photo_448768.png.webp,science
"""Глобальное кипение"": ученые предупредили о климатическом кризисе",https://tengrinews.kz/science/globalnoe-kipenie-uchenyie-predupredili-klimaticheskom-512105/,01 октября 2023,https://static.tengrinews.kz/userdata/news/2023/news_512105/thumb_xts/photo_445671.jpeg.webp,science
Старейшее деревянное строение в мире нашли в Замбии,https://tengrinews.kz/science/stareyshee-derevyannoe-stroenie-v-mire-nashli-v-zambii-511138/,21 сентября 2023,https://static.tengrinews.kz/userdata/news/2023/news_511138/thumb_xts/photo_444604.png.webp,science
Инновационные возможности нового кампуса Назарбаев Университета презентовали в Алматы,https://tengrinews.kz/science/innovatsionnyie-vozmojnosti-novogo-kampusa-nazarbaev-501311/,07 июня 2023,https://static.tengrinews.kz/userdata/news/2023/news_501311/thumb_xts/photo_433284.jpeg.webp,science
NASA изменило дату высадки людей на Луну,https://tengrinews.kz/science/nasa-izmenilo-datu-vyisadki-lyudey-na-lunu-496995/,20 апреля 2023,https://static.tengrinews.kz/userdata/news/2023/news_496995/thumb_xts/photo_428319.jpeg.webp,science
Эксперт выбрал фаворита в третьем бою Рахмонова в UFC,https://tengrinews.kz/sport/ekspert-vyibral-favorita-v-tretem-boyu-rahmonova-v-ufc-459254/,15 января 2022,https://static.tengrinews.kz/userdata/news/2022/news_459254/thumb_xts/photo_385909.png.webp,sport
Около 45 тысяч тенге пожизненно могут получать чемпионы и призеры Олимпиад,https://tengrinews.kz/sport/okolo-45-tysiac-tenge-poziznenno-mogut-polucat-cempiony-257571/,24 июня 2014,https://static.tengrinews.kz/userdata/news/2014/news_257571/thumb_xts/photo_128969.jpg.webp,sport
Расписание выступлений казахстанцев на Олимпиаде в Сочи 15 февраля,https://tengrinews.kz/sport/raspisanie-vystuplenii-kazaxstancev-olimpiade-soci-15-250490/,15 февраля 2014,https://static.tengrinews.kz/img/stub-tengrinews.png.webp,sport
